location,month,day_of_week,hour,crash_risk_count,fatal_crashes,serious_crashes,crash_risk_level
Albury,9,Wednesday,8,1,0,0,low
Albury,9,Wednesday,10,3,0,1,low
Albury,9,Wednesday,12,1,0,0,low
Albury,9,Wednesday,14,3,0,0,low
Albury,9,Wednesday,16,1,0,0,low
Albury,9,Wednesday,18,2,0,0,low
Albury,9,Wednesday,22,1,0,0,low
Albury,10,Friday,4,1,0,0,low
Albury,10,Friday,10,1,0,1,low
Albury,10,Friday,12,4,0,1,low
Albury,10,Friday,14,4,0,0,low
Albury,10,Friday,16,3,0,3,low
Albury,10,Friday,18,1,0,1,low
Albury,10,Friday,20,3,0,0,low
Albury,10,Friday,22,5,0,1,low
Albury,10,Monday,2,1,0,0,low
Albury,10,Monday,6,2,0,0,low
Albury,10,Monday,8,2,0,1,low
Albury,10,Monday,10,1,0,0,low
Albury,10,Monday,12,3,0,1,low
Albury,10,Monday,14,3,0,0,low
Albury,10,Monday,16,2,0,0,low
Albury,10,Monday,20,1,0,0,low
Albury,10,Saturday,0,2,0,0,low
Albury,10,Saturday,2,4,0,1,low
Albury,10,Saturday,6,1,0,0,low
Albury,10,Saturday,10,3,0,0,low
Albury,10,Saturday,12,5,0,2,low
Albury,10,Saturday,14,1,0,0,low
Albury,10,Saturday,16,3,0,0,low
Albury,10,Saturday,18,2,0,0,low
Albury,10,Saturday,20,1,0,0,low
Albury,10,Saturday,22,3,0,0,low
Albury,10,Sunday,0,2,1,0,low
Albury,10,Sunday,2,1,0,0,low
Albury,10,Sunday,6,1,0,0,low
Albury,10,Sunday,8,3,0,0,low
Albury,10,Sunday,10,4,0,2,low
Albury,10,Sunday,12,3,1,1,low
Albury,10,Sunday,14,2,0,2,low
Albury,10,Sunday,16,2,0,0,low
Albury,10,Sunday,22,2,0,1,low
Albury,10,Thursday,0,2,0,0,low
Albury,10,Thursday,8,1,0,0,low
Albury,10,Thursday,10,4,0,1,low
Albury,10,Thursday,12,2,0,0,low
Albury,10,Thursday,14,3,0,1,low
Albury,10,Thursday,16,1,1,0,low
Albury,10,Thursday,18,2,0,1,low
Albury,10,Thursday,20,2,1,1,low
Albury,10,Tuesday,0,1,0,0,low
Albury,10,Tuesday,4,1,0,0,low
Albury,10,Tuesday,8,1,0,0,low
Albury,10,Tuesday,10,3,0,1,low
Albury,10,Tuesday,14,4,0,1,low
Albury,10,Tuesday,16,2,0,0,low
Albury,10,Tuesday,20,1,0,0,low
Albury,10,Wednesday,0,1,0,0,low
Albury,10,Wednesday,6,1,0,1,low
Albury,10,Wednesday,8,1,0,0,low
Albury,10,Wednesday,10,2,0,0,low
Albury,10,Wednesday,12,5,0,1,low
Albury,10,Wednesday,14,2,0,0,low
Albury,10,Wednesday,16,1,0,0,low
Albury,10,Wednesday,18,1,0,0,low
Albury,10,Wednesday,22,2,1,0,low
Albury,11,Friday,0,2,1,0,low
Albury,11,Friday,6,3,0,0,low
Albury,11,Friday,8,1,0,0,low
Albury,11,Friday,10,9,0,3,medium
Albury,11,Friday,12,1,0,0,low
Albury,11,Friday,14,5,0,3,low
Albury,11,Friday,16,1,0,0,low
Albury,11,Friday,18,3,0,1,low
Albury,11,Friday,20,1,0,0,low
Albury,11,Monday,0,1,0,0,low
Albury,11,Monday,6,4,0,1,low
Albury,11,Monday,8,3,0,1,low
Albury,11,Monday,10,4,0,0,low
Albury,11,Monday,12,3,0,1,low
Albury,11,Monday,14,3,0,0,low
Albury,11,Monday,16,5,0,0,low
Albury,11,Monday,22,1,0,0,low
Albury,11,Saturday,0,1,0,1,low
Albury,11,Saturday,2,2,0,1,low
Albury,11,Saturday,8,1,0,0,low
Albury,11,Saturday,10,2,1,1,low
Albury,11,Saturday,12,3,0,0,low
