event_id,name,date,time,status,venue,city,state,address,latitude,longitude,category,genre,sub_genre,min_price,max_price,url,source,year
17a8v0G653_p3PN,Sydney Swans v Adelaide Crows - RED ZONE,2026-07-17,19:40:00,onsale,Sydney Cricket Ground,Moore Park,NSW,Driver Avenue,-33.889832,151.223348,Sports,Football,AFL,,,https://www.ticketmaster.com.au/sydney-swans-v-adelaide-crows-red-moore-park-17-07-2026/event/250064B499592963,ticketmaster,2026
17a8v0G65K3nU3E,Sydney Swans v Adelaide Crows,2026-07-17,19:40:00,onsale,Sydney Cricket Ground,Moore Park,NSW,Driver Avenue,-33.889832,151.223348,Sports,Football,AFL,,,https://www.ticketmaster.com.au/sydney-swans-v-adelaide-crows-moore-park-17-07-2026/event/250064B4D2AB64A7,ticketmaster,2026
16efZ_7fyG7BEfV,2026 NRL Telstra Premiership - Sydney Roosters v Storm (Round 20),2026-07-17,20:00:00,onsale,Allianz Stadium,Sydney,NSW,Moore Park Rd,-33.888345,151.226623,Sports,Rugby,Rugby League,,,https://www.ticketmaster.com.au/2026-nrl-telstra-premiership-sydney-roosters-sydney-17-07-2026/event/2500644539EA7534,ticketmaster,2026
1APZkoYGkdqbpol,Winter Challenge Day,2026-07-18,10:15:00,onsale,Rosehill Gardens Racecourse,Rosehill,NSW,James Ruse Dr,-33.822586,151.023369,Sports,Equestrian,Horse Racing,,,https://www.ticketmaster.com.au/winter-challenge-day-rosehill-18-07-2026/event/25006470DD61646B,ticketmaster,2026
177Yv0G65wrZKc-,Wanderer Promotions Presents Wanderer V111 The Rising,2026-07-18,17:30:00,onsale,Sydney Event Centre,Pyrmont,NSW,80 Pyrmont Street,-33.868017,151.195545,Sports,Boxing,Boxing,,,https://www.ticketmaster.com.au/wanderer-promotions-presents-wanderer-v111-the-pyrmont-18-07-2026/event/130064BC9E013B61,ticketmaster,2026
15efZ_71AG--3,2026 NRL Telstra Premiership Bulldogs v Tigers (Round 20),2026-07-18,19:30:00,onsale,Accor Stadium,Sydney Olympic Park,NSW,15 Edwin Flack Avenue,-33.848603,151.061717,Sports,Rugby,Rugby League,,,https://www.ticketmaster.com.au/2026-nrl-telstra-premiership-bulldogs-v-sydney-olympic-park-18-07-2026/event/2500644285321852,ticketmaster,2026
1AefZ_eGkTla_K0,2026 NRL Telstra Premiership - Parramatta Eels v Panthers (Round 21),2026-07-23,19:50:00,onsale,CommBank Stadium,Parramatta,NSW,11-13 O'Connell Street,-33.808133,150.999678,Sports,Rugby,Rugby League,,,https://www.ticketmaster.com.au/2026-nrl-telstra-premiership-parramatta-eels-parramatta-23-07-2026/event/2500642FEB2594E4,ticketmaster,2026
1avGZ_A1_rpZd5Cv,2026 NRL Telstra Premiership - Newcastle Knights v Sydney Roosters,2026-07-24,18:00:00,onsale,McDonald Jones Stadium,Newcastle,NSW,294 Turton Rd,-32.916649,151.726257,Sports,Rugby,Rugby League,,,https://www.ticketmaster.com.au/2026-nrl-telstra-premiership-newcastle-knights-newcastle-24-07-2026/event/1300645299796AD0,ticketmaster,2026
1APZkoaGkdaT03W,2026 NRL Telstra Premiership - Rabbitohs v Storm (Round 21),2026-07-24,20:00:00,onsale,Accor Stadium,Sydney Olympic Park,NSW,15 Edwin Flack Avenue,-33.848603,151.061717,Sports,Rugby,Rugby League,,,https://www.ticketmaster.com.au/2026-nrl-telstra-premiership-rabbitohs-v-sydney-olympic-park-24-07-2026/event/25006449C9FE44BD,ticketmaster,2026
1APZkoYGkdIWkgR,Industry Celebration Day,2026-07-25,10:15:00,onsale,Royal Randwick Racecourse,Randwick,NSW,Alison Road,-33.908595,151.22896,Sports,Equestrian,Horse Racing,,,https://www.ticketmaster.com.au/industry-celebration-day-randwick-25-07-2026/event/25006470E8F46D6F,ticketmaster,2026
177Yv0G65r-vkKy,GWS GIANTS v Sydney Swans,2026-07-25,16:35:00,onsale,ENGIE Stadium,Olympic Park,NSW,Grand Parade,-33.843016,151.067664,Sports,Football,AFL,,,https://www.ticketmaster.com.au/gws-giants-v-sydney-swans-olympic-park-25-07-2026/event/130064B7A10464F9,ticketmaster,2026
16PZkoe-KZA5eak2,2026 NRL Telstra Premiership Bulldogs v Warriors (Round 21),2026-07-25,17:30:00,onsale,Accor Stadium,Sydney Olympic Park,NSW,15 Edwin Flack Avenue,-33.848603,151.061717,Sports,Rugby,Rugby League,,,https://www.ticketmaster.com.au/2026-nrl-telstra-premiership-bulldogs-v-sydney-olympic-park-25-07-2026/event/25006442853A185E,ticketmaster,2026
